date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,rsi,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,bb_pct,vol_sma20,vol_ratio,ret_1d,ret_5d,ret_20d,ticker,sentiment_score,sentiment_count,sentiment_pos,sentiment_neg,sent_3d,sent_7d,sent_momentum,pe_ratio,forward_pe,eps,revenue_growth,profit_margin,debt_to_equity,target_5d,target_20d,return_5d,return_20d
2025-08-08,331.751286289915,335.42991202689075,330.8067955971987,334.8333740234375,6073900.0,345.295571899414,351.33048767089844,332.5780305480957,340.606700770928,344.99611427041395,38.891653304064434,-4.389413499485954,-2.739650134171701,-1.6497633653142532,359.3488699920952,331.24227380673284,345.295571899414,0.1277671687063658,6296380.0,0.9646654109186548,0.0141226193446046,-0.0075733921104589,-0.0320467307133117,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,1.0,0.024633743535712398,0.01817893476196292
2025-08-11,334.78371569509886,335.9071588225032,332.5765460539444,333.95849609375,5715800.0,344.56979217529295,350.8035510253906,332.82931564331057,339.5839000513621,344.17851292399445,38.17491652571853,-4.594612872632297,-3.1106426818638204,-1.4839701907684764,359.40923692497284,329.73034742561305,344.56979217529295,0.1424631695901457,6302225.0,0.9069495297295797,-0.0026128755302219,-0.0182667315105805,-0.0416547309397424,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,1.0,0.022158515206587646,0.025886417368597276
2025-08-12,333.84894997860204,337.2850261197865,333.46050732909305,335.3827209472656,5682800.0,344.08821868896484,350.2496209716797,333.09790878295905,338.9375648045781,343.5269727775701,40.10988638432791,-4.589407972992035,-3.4063957400894638,-1.1830122329025716,359.48172278403155,328.69471459389814,344.08821868896484,0.2172346956172771,6341780.0,0.8960891106282461,0.0042646762102911,-0.0002889112041056,-0.0279161552971251,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,1.0,0.01695678209863473,0.00409815592082892
2025-08-13,335.62175495109443,342.0955555803865,335.42254892774906,341.1692810058594,5693400.0,343.75280456542964,349.80883789062506,333.4005279541016,339.2809057586213,343.35232894262856,47.32350169498112,-4.071423184007244,-3.53940122887302,-0.5320219551342245,359.0908951632377,328.4147139676216,343.75280456542964,0.4157807960674304,6349240.0,0.8967057474595383,0.0172536022197267,0.0100450351067113,-0.0192834582479621,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,1.0,0.004028647243800782,0.002744145835634806
2025-08-14,341.55773293031257,344.6850608988738,340.29286279189733,344.0974426269531,6224000.0,343.5682723999024,349.41588134765624,333.7204586791993,340.0219114306724,343.4075225488748,50.56812433175288,-3.385611118202405,-3.5086432067388973,0.1230320885364921,358.7903138798061,328.34623091999856,343.5682723999024,0.5173817101744205,6423085.0,0.9690047695149604,0.00858272354551,0.0421810575017513,-0.0106117588835694,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,0.0,0.0,-0.005210021653362613,-0.017540243636913505
2025-08-15,344.8543977666452,346.9558785686944,341.4780469796213,343.0815734863281,4946600.0,343.3707275390625,348.9600537109375,334.04267807006835,340.492628670004,343.38337817387134,49.43057467655856,-2.890749503867312,-3.38506446616458,0.4943149622972682,358.50577452059804,328.23568055752696,343.3707275390625,0.4904475336753964,6424035.0,0.7700144846657901,-0.0029522716962657,0.0246337435357124,-0.0113848056027493,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,0.0,0.016169759076086962,-0.015734431040756898
2025-08-18,342.45409285637004,344.3364894908787,339.5757572803942,341.3585205078125,3999600.0,342.9930755615235,348.49422302246086,334.3441171264648,340.6258427988977,343.2333887171262,47.47962380303718,-2.6075459182285385,-3.229560756577372,0.6220148383488331,357.9215122596507,328.0646388633963,342.9930755615235,0.445253642855943,6363200.0,0.6285516721146592,-0.0050222836540193,0.0221585152065877,-0.021647432803639,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,0.0,0.017739447269694814,-0.0079068369469559
2025-08-19,341.17927471045255,344.9440378209097,340.51199223443484,341.0697326660156,4457200.0,342.5552505493164,347.9540161132812,334.6555355834961,340.69413354768506,343.0731178985254,47.14377793142417,-2.378984350840369,-3.059445475429972,0.6804611245896024,357.14976970371634,327.9607313949164,342.5552505493164,0.4491069946178387,6355350.0,0.7013303751957012,-0.0008459957037758,0.0169567820986347,-0.025030999451632,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,1.0,0.025492626143135043,0.010950438938266256
2025-08-20,342.01586914906005,346.039593838693,341.4680981636876,342.5437316894531,5834400.0,342.0206161499023,347.5140765380859,334.93337844848634,340.97868710795706,343.0339041052608,49.121959256734925,-2.0552169973037167,-2.8585997798047207,0.803382782501004,355.72383151839176,328.31740078141286,342.0206161499023,0.5190873282278928,6427790.0,0.9076836673257836,0.004321694018158,0.0040286472438006,-0.0302706272417675,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,0.0,0.018666622477509633,-0.016718468653272183
2025-08-21,341.50792422632094,343.13132863657773,338.35068820536213,342.3046875,6073600.0,341.53964843750003,346.9890234375,335.21155899047847,341.1826871682714,342.9798880604266,48.80296572786157,-1.7972008921552174,-2.64632000227482,0.8491191101196027,354.4304635149411,328.648833360059,341.53964843750003,0.5296738048515299,6437110.0,0.943529006029103,-0.0006978501351466,-0.0052100216533625,-0.0273336092648471,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,0.0,0.017952256647266917,-0.006051901460686979
2025-08-22,343.82854031012994,349.7844479666891,343.82854031012994,348.6291198730469,4973200.0,341.22229003906244,346.5385607910156,335.5169606018066,342.3282921997753,343.3983496761763,56.79672253390223,-1.0700574764009616,-2.331067497100048,1.2610100206990866,352.98328971154706,329.4612903665778,341.22229003906244,0.8148894668579131,6490000.0,0.7662865947611709,0.0184760320381147,0.0161697590760869,-0.0178805407181978,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,0.0,0.004970903490837044,-0.016226800021253728
2025-08-25,348.20082587581777,349.3063676468326,346.0993451607829,347.4140319824219,8019800.0,340.9222229003906,346.10177551269527,335.8107977294921,343.1107137047979,343.69580762478705,55.01929472890953,-0.5850939199891627,-1.9818727816778712,1.3967788616887085,351.63267854733795,330.2117672534432,340.9222229003906,0.8030594260048355,6694940.0,1.1978897495720646,-0.0034853310333556,0.0177394472696947,-0.0169809895157596,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,1.0,0.0,0.0035835184678791746,-0.02901204956437785
2025-08-26,347.28454198788506,351.97554893901935,346.0495497667165,349.7644958496094,5876200.0,340.94747161865234,346.0808551025391,336.1092662048339,344.1343724963073,344.145340085885,57.77223840040927,-0.0109675895776604,-1.5876917432578292,1.5767241536801688,351.74272719505524,330.15221604224945,340.94747161865234,0.908374964707718,6618635.0,0.8878265684691782,0.0067655985389398,0.0254926261431349,0.0014458428021895,V,0.0,0.0,0.0,0.0,,,0.0,28.321127,20.748465,10.65,0.146,0.50233,54.612,0.0,0.0,-0.0008827263531727325,-0.035594280226397615
